实验                                     mAP50   mAP50-95        P        R
----------------------------------------------------------------------
baseline_yolov8n                      0.9061     0.7478   0.9277   0.8138
improve_SPPCSPC                       0.8599     0.6736   0.9084   0.6857
improve_SimSPPF                       0.9182     0.7459   0.9512   0.7872
improve_SIoU                          0.9250     0.7606   0.9444   0.8125
improve_DIoU                          0.9247     0.7665   0.9422   0.8085
improve_GIoU                          0.8974     0.7394   0.8978   0.8032
improve_C2fSE                         0.9027     0.7229   0.8997   0.8191
improve_C2fPSA                        0.7940     0.6045   0.8116   0.6702
improve_DWConv                        0.3815     0.2289   0.5065   0.4043
combo_SPPCSPC_SIoU                    0.8716     0.6893   0.8395   0.7660
combo_SPPCSPC_C2fSE                   0.8850     0.7159   0.9530   0.7287
combo_all                             0.8428     0.6555   0.8471   0.7181
compare_SPP                           0.9166     0.7434   0.8710   0.8620
compare_SPPF                          0.9061     0.7478   0.9277   0.8138
compare_GhostConv                     0.1171     0.0552   0.2442   0.1489
